chain,address,name,category,secondary_category,source,source_url,tier
ethereum,0xc077bbfcf9b5b9eec0dd105e15b65ebc2a030600,Israel NBCTF sanctioned wallet,sanctions,,OpenSanctions / NBCTF,https://www.opensanctions.org/datasets/il_mod_crypto/ ; https://nbctf.mod.gov.il/en/aboutus/Pages/mandate.aspx,official
ethereum,0xc0d227bd0580bad9435ca0b884ebee7ff8da71c9,Israel NBCTF sanctioned wallet,sanctions,,OpenSanctions / NBCTF,https://www.opensanctions.org/datasets/il_mod_crypto/ ; https://nbctf.mod.gov.il/en/aboutus/Pages/mandate.aspx,official
ethereum,0xc3b194e0a4bfff0e986594d7768f58746e52eb53,Israel NBCTF sanctioned wallet,sanctions,,OpenSanctions / NBCTF,https://www.opensanctions.org/datasets/il_mod_crypto/ ; https://nbctf.mod.gov.il/en/aboutus/Pages/mandate.aspx,official
ethereum,0xc8fe1c81e927540fcc99ebb3c880a840082293da,Israel NBCTF sanctioned wallet,sanctions,,OpenSanctions / NBCTF,https://www.opensanctions.org/datasets/il_mod_crypto/ ; https://nbctf.mod.gov.il/en/aboutus/Pages/mandate.aspx,official
ethereum,0xddd42d46a17b9a5b0c53c5ef2b79a6acb1b50333,Israel NBCTF sanctioned wallet,sanctions,,OpenSanctions / NBCTF,https://www.opensanctions.org/datasets/il_mod_crypto/ ; https://nbctf.mod.gov.il/en/aboutus/Pages/mandate.aspx,official
ethereum,0xe090669ee62e02f4437b89058a073dc7874aed8f,Israel NBCTF sanctioned wallet,sanctions,,OpenSanctions / NBCTF,https://www.opensanctions.org/datasets/il_mod_crypto/ ; https://nbctf.mod.gov.il/en/aboutus/Pages/mandate.aspx,official
ethereum,0xebfe7a29ea17acb5f6f437e659bd2d472deedc54,Israel NBCTF sanctioned wallet,sanctions,,OpenSanctions / NBCTF,https://www.opensanctions.org/datasets/il_mod_crypto/ ; https://nbctf.mod.gov.il/en/aboutus/Pages/mandate.aspx,official
ethereum,0xf3701f445b6bdafedbca97d1e477357839e4120d,Ivan Gennadievich Kondratiev,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x38735f03b30fbc022ddd06abed01f0ca823c6a94,John Desmond Hanafin,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x39d908dac893cbcb53cc86e0ecc369aa4def1a29,Jonatan Zimenkov,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x4060cbf80734193f521a3cc6fd4e985df2825279,Keyvan Fayyaz Gareh Blagh,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
